Transcript,Gene,Alias,Fold Change,Direction,Total FPKM,Q-Value,Description
AT5G66390.1,AT5G66390,,1.12,UP,9.68,1,peroxidase 72
AT5G64120.1,AT5G64120,,1.00,DOWN,11.44,1,peroxidase 71
AT5G64100.1,AT5G64100,,2.26,DOWN,27.24,0.0219,peroxidase 69
AT5G51890.1,AT5G51890,,1.71,DOWN,7.20,0.6825,peroxidase 66
AT1G02780.1,AT1G02780,emb2386,1.03,UP,234.08,1,60S ribosomal protein L19-1
AT1G14320.1,AT1G14320,SAC52,1.18,DOWN,88.03,0.6758,60S ribosomal protein L10-1
AT1G14320.2,AT1G14320,SAC52,2.02,DOWN,200.70,0.0011,60S ribosomal protein L10-1
AT1G23290.1,AT1G23290,RPL27A,2.52,DOWN,181.71,0.0011,60S ribosomal protein L27a-2
AT1G29970.1,AT1G29970,RPL18AA,1.14,DOWN,15.47,1,60S ribosomal protein L18a-1
AT1G33140.1,AT1G33140,PGY2,3.00,DOWN,49.48,0.0117,60S ribosomal protein L9-1
AT1G43170.1,AT1G43170,ARP1,1.64,UP,83.94,0.0307,60S ribosomal protein L3-1
AT1G43170.2,AT1G43170,ARP1,1.88,DOWN,13.00,0.6887,60S ribosomal protein L3-1
AT1G43170.5,AT1G43170,ARP1,1.22,DOWN,23.15,0.9755,60S ribosomal protein L3-1
AT1G43170.6,AT1G43170,ARP1,3.77,UP,8.77,0.7711,60S ribosomal protein L3-1
AT1G61580.1,AT1G61580,ARP2,1.51,UP,10.29,0.6092,60S ribosomal protein L3-2
AT1G66580.1,AT1G66580,SAG24,2.01,DOWN,76.98,0.0011,60S ribosomal protein L10-3
AT1G69620.1,AT1G69620,RPL34,1.34,DOWN,304.14,0.0388,60S ribosomal protein L34-2
AT2G18020.1,AT2G18020,EMB2296,2.00,DOWN,308.24,0.0011,60S ribosomal protein L8-1
AT2G27530.1,AT2G27530,PGY1,1.95,DOWN,116.20,0.0030,60S ribosomal protein L10a-2
AT2G27530.2,AT2G27530,PGY1,1.65,DOWN,10.53,0.9385,60S ribosomal protein L10a-2
AT2G36620.1,AT2G36620,RPL24A,1.04,UP,98.05,1,60S ribosomal protein L24-1
AT2G39460.1,AT2G39460,ATRPL23A,1.55,DOWN,158.73,0.0783,60S ribosomal protein L23a-1
AT2G39460.2,AT2G39460,ATRPL23A,1.10,UP,36.08,1,60S ribosomal protein L23a-1
AT3G04400.1,AT3G04400,emb2171,2.85,DOWN,441.20,0.0011,60S ribosomal protein L23
AT3G04400.2,AT3G04400,emb2171,10.92,DOWN,63.07,0.4666,60S ribosomal protein L23
AT3G05590.1,AT3G05590,RPL18,3.37,DOWN,142.95,0.0011,60S ribosomal protein L18-2
AT3G25520.1,AT3G25520,ATL5,1.37,DOWN,113.28,0.3032,60S ribosomal protein L5-1
AT3G25520.2,AT3G25520,ATL5,1.43,UP,24.51,1,60S ribosomal protein L5-1
AT3G49010.2,AT3G49010,ATBBC1,1.06,DOWN,94.17,1,60S ribosomal protein L13-1
AT3G49010.5,AT3G49010,ATBBC1,2.58,DOWN,9.77,0.8974,60S ribosomal protein L13-1
AT3G52590.1,AT3G52590,UBQ1,1.59,DOWN,496.66,0.0011,60S ribosomal protein L40-2
AT3G53020.1,AT3G53020,RPL24,1.00,UP,141.10,1,60S ribosomal protein L24-2
AT3G55280.1,AT3G55280,RPL23AB,5.80,DOWN,36.28,0.5047,60S ribosomal protein L23a-2
AT3G55280.2,AT3G55280,RPL23AB,70.75,UP,11.27,0.5672,60S ribosomal protein L23a-2
AT4G18730.1,AT4G18730,RPL16B,1.23,DOWN,138.31,0.5136,60S ribosomal protein L11-2
AT5G39740.1,AT5G39740,RPL5B,1.18,UP,94.76,0.5305,60S ribosomal protein L5-2
AT5G17820.1,AT5G17820,,3.70,DOWN,28.34,0.0038,peroxidase 57
AT5G06290.1,AT5G06290,2-Cys Prx B,1.39,DOWN,50.59,0.2119,2-Cys peroxiredoxin BAS1-like protein
AT1G05190.1,AT1G05190,emb2394,1.76,DOWN,130.70,0.0038,50S ribosomal protein L6
AT1G07320.1,AT1G07320,RPL4,1.69,DOWN,187.00,0.0011,50S ribosomal protein L4
AT1G07320.3,AT1G07320,RPL4,1.09,UP,12.97,1,50S ribosomal protein L4
AT1G07320.4,AT1G07320,RPL4,1.65,UP,16.61,1,50S ribosomal protein L4
AT1G32990.1,AT1G32990,PRPL11,1.53,DOWN,115.46,0.0693,50S ribosomal protein L11
AT1G75350.1,AT1G75350,emb2184,1.49,DOWN,133.13,0.1631,50S ribosomal protein L31
AT1G78630.1,AT1G78630,emb1473,1.09,DOWN,90.11,0.8564,50S ribosomal protein L13
AT3G25920.1,AT3G25920,RPL15,1.75,DOWN,135.33,0.0011,50S ribosomal protein L15
AT3G27830.1,AT3G27830,RPL12-A,1.32,DOWN,127.75,0.2672,50S ribosomal protein L12-1
AT3G27850.1,AT3G27850,RPL12-C,1.17,DOWN,232.09,0.4674,50S ribosomal protein L12-3
AT3G44890.1,AT3G44890,RPL9,1.32,UP,121.28,0.2771,50S ribosomal protein L9
AT4G30930.1,AT4G30930,NFD1,1.69,UP,9.60,0.6552,50S ribosomal protein L21
AT4G37520.1,AT4G37520,,4.14,UP,7.86,0.5230,peroxidase 50
AT5G40950.1,AT5G40950,RPL27,1.07,DOWN,91.89,1,50S ribosomal protein L27
AT4G30170.1,AT4G30170,,1.08,DOWN,27.19,1,peroxidase 45
AT4G26010.1,AT4G26010,,3.61,DOWN,20.56,0.0617,peroxidase 44
AT1G04270.1,AT1G04270,RPS15,1.99,DOWN,218.86,0.0011,40S ribosomal protein S15-1
AT1G07770.2,AT1G07770,RPS15A,2.30,DOWN,258.55,0.0011,40S ribosomal protein S15a-1
AT1G22780.1,AT1G22780,PFL,1.20,DOWN,98.51,0.5770,40S ribosomal protein S18
AT1G58380.1,AT1G58380,XW6,2.51,DOWN,9.34,0.2366,40S ribosomal protein S2-1
AT1G72370.1,AT1G72370,P40,4.75,DOWN,94.16,0.5438,40S ribosomal protein Sa-1
AT1G72370.2,AT1G72370,P40,1393.09,UP,26.42,0.6872,40S ribosomal protein Sa-1
AT2G19720.1,AT2G19720,rps15ab,5.16,DOWN,5.83,0.5492,40S ribosomal protein S15a-2
AT2G37270.1,AT2G37270,RPS5B,1.98,DOWN,51.21,0.0282,40S ribosomal protein S5-1
AT3G11940.2,AT3G11940,RPS5A,1.07,DOWN,119.49,0.9592,40S ribosomal protein S5-2
AT3G22300.1,AT3G22300,RPS10,1.52,UP,11.65,0.7550,40S ribosomal protein S10
AT3G46040.1,AT3G46040,RPS15AD,1.11,DOWN,67.47,0.9671,40S ribosomal protein S15a-4
AT3G48930.1,AT3G48930,EMB1080,1.59,DOWN,112.66,0.0481,40S ribosomal protein S11-1
AT3G61110.1,AT3G61110,ARS27A,2.55,DOWN,350.56,0.0011,40S ribosomal protein S27-2
AT4G00100.1,AT4G00100,ATRPS13A,1.50,DOWN,113.43,0.1147,40S ribosomal protein S13-2
